index_set,mean_acc,std_acc,test_accuracy,estimator_name,num_layers,hidden_size,d_model,nhead,out_channels,dropout,weight_decay,lr,scheduler_factor,batch_size,score
254,42.5,18.9,20.8,Transformer,3,-,72,4,-,0.175,1.0e-06,4.0e-03,0.6,32,23.6
136,50.4,27.0,20.8,Transformer,4,-,36,12,-,0.125,2.5e-06,4.0e-03,0.5,32,23.3
251,50.4,27.0,47.5,Transformer,3,-,48,3,-,0.1,2.5e-06,5.0e-03,0.5,28,23.3
52,32.5,9.2,20.8,Transformer,3,-,72,4,-,0.025,7.5e-07,5.5e-03,0.5,28,23.3
294,46.8,23.6,67.5,Transformer,3,-,72,3,-,0.0,5.0e-06,3.5e-03,0.5,36,23.2
228,49.6,27.0,27.5,Transformer,3,-,72,12,-,0.175,7.5e-07,4.0e-03,0.4,28,22.7
282,42.9,20.6,85.0,Transformer,3,-,48,2,-,0.15,2.5e-06,5.0e-03,0.6,32,22.3
163,52.1,30.0,20.8,Transformer,3,-,72,3,-,0.125,2.5e-06,3.5e-03,0.5,28,22.1
56,36.1,14.0,52.5,Transformer,3,-,72,4,-,0.075,7.5e-07,4.5e-03,0.4,36,22.1
7,54.3,32.3,20.8,Transformer,4,-,36,2,-,0.1,1.0e-06,3.5e-03,0.4,32,22.0
28,47.9,26.1,34.2,Transformer,3,-,72,2,-,0.125,5.0e-06,3.5e-03,0.4,36,21.8
61,45.4,23.6,54.2,Transformer,3,-,48,3,-,0.05,5.0e-07,5.5e-03,0.4,32,21.8
269,42.1,21.3,19.2,Transformer,3,-,72,3,-,0.025,2.5e-06,4.5e-03,0.5,36,20.8
